Starting Surface Distance Metric Analysis job...
Job ID: 186376
Node: gpuvm20
Time: Fri 25 Jul 17:18:24 BST 2025
Loading CUDA...
Activating conda environment...
Activated conda environment: /vol/bitbucket/ahb24/tda_entailment_new
Python location: /vol/bitbucket/ahb24/tda_entailment_new/bin/python
Checking GPU availability...
Fri Jul 25 17:18:29 2025       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.133.07             Driver Version: 570.133.07     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A16                     Off |   00000000:00:1B.0 Off |                    0 |
|  0%   37C    P8             15W /   62W |       0MiB /  15356MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+

Testing PyTorch and CUDA...
PyTorch version: 2.4.1
CUDA available: True
CUDA device: NVIDIA A16
GPU memory: 15.7 GB
PyTorch setup verified!

Starting Persistence Diagram Comparison...

Starting ULTRA-FAST persistence diagram analysis...
This version uses only statistical methods - no expensive distance computations
Running diagram collection...
Collecting persistence diagrams for sbert_concat + euclidean
Running 10 tests with 10 samples each
Following exact seeding procedure from phdim_clustering_validation_best_metrics.py

Test 1/10 (seed=42)
Loaded BERT data: torch.Size([549367, 768])
Labels distribution: tensor([183187, 183416, 182764])
Label mapping used for bincount: {'contradiction': 0, 'entailment': 1, 'neutral': 2}
  Sample 1, entailment: H0=950, H1=1274, PHD=15.43
  Sample 1, neutral: H0=950, H1=1685, PHD=20.88
  Sample 1, contradiction: H0=950, H1=2154, PHD=27.66
  Sample 2, entailment: H0=950, H1=1304, PHD=18.36
  Sample 2, neutral: H0=950, H1=1716, PHD=21.03
  Sample 2, contradiction: H0=950, H1=2016, PHD=26.86
  Sample 3, entailment: H0=950, H1=1368, PHD=18.21
  Sample 3, neutral: H0=950, H1=1804, PHD=21.84
  Sample 3, contradiction: H0=950, H1=2077, PHD=29.35
  Sample 4, entailment: H0=950, H1=1338, PHD=17.91
  Sample 4, neutral: H0=950, H1=1774, PHD=23.98
  Sample 4, contradiction: H0=950, H1=2059, PHD=26.94
  Sample 5, entailment: H0=950, H1=1238, PHD=16.31
  Sample 5, neutral: H0=950, H1=1710, PHD=21.99
  Sample 5, contradiction: H0=950, H1=2128, PHD=25.92
  Sample 6, entailment: H0=950, H1=1266, PHD=16.28
  Sample 6, neutral: H0=950, H1=1721, PHD=22.96
  Sample 6, contradiction: H0=950, H1=2126, PHD=25.06
  Sample 7, entailment: H0=950, H1=1287, PHD=16.58
  Sample 7, neutral: H0=950, H1=1720, PHD=21.56
  Sample 7, contradiction: H0=950, H1=2263, PHD=27.00
  Sample 8, entailment: H0=950, H1=1270, PHD=16.20
  Sample 8, neutral: H0=950, H1=1730, PHD=21.96
  Sample 8, contradiction: H0=950, H1=2141, PHD=27.16
  Sample 9, entailment: H0=950, H1=1345, PHD=16.93
  Sample 9, neutral: H0=950, H1=1776, PHD=22.34
  Sample 9, contradiction: H0=950, H1=1968, PHD=25.03
  Sample 10, entailment: H0=950, H1=1286, PHD=16.03
  Sample 10, neutral: H0=950, H1=1767, PHD=21.86
  Sample 10, contradiction: H0=950, H1=2195, PHD=29.59

Test 2/10 (seed=43)
  Sample 1, entailment: H0=950, H1=1311, PHD=16.93
  Sample 1, neutral: H0=950, H1=1715, PHD=24.37
  Sample 1, contradiction: H0=950, H1=2247, PHD=28.04
  Sample 2, entailment: H0=950, H1=1316, PHD=17.68
  Sample 2, neutral: H0=950, H1=1807, PHD=23.38
  Sample 2, contradiction: H0=950, H1=2039, PHD=25.89
  Sample 3, entailment: H0=950, H1=1347, PHD=17.75
  Sample 3, neutral: H0=950, H1=1799, PHD=24.34
  Sample 3, contradiction: H0=950, H1=2104, PHD=26.00
  Sample 4, entailment: H0=950, H1=1287, PHD=17.51
  Sample 4, neutral: H0=950, H1=1697, PHD=23.01
  Sample 4, contradiction: H0=950, H1=2130, PHD=26.82
  Sample 5, entailment: H0=950, H1=1314, PHD=18.92
  Sample 5, neutral: H0=950, H1=1835, PHD=26.40
  Sample 5, contradiction: H0=950, H1=2080, PHD=26.58
  Sample 6, entailment: H0=950, H1=1275, PHD=16.43
  Sample 6, neutral: H0=950, H1=1663, PHD=20.73
  Sample 6, contradiction: H0=950, H1=2167, PHD=27.66
  Sample 7, entailment: H0=950, H1=1279, PHD=15.31
  Sample 7, neutral: H0=950, H1=1590, PHD=21.79
  Sample 7, contradiction: H0=950, H1=2134, PHD=28.13
  Sample 8, entailment: H0=950, H1=1253, PHD=18.76
  Sample 8, neutral: H0=950, H1=1658, PHD=23.28
  Sample 8, contradiction: H0=950, H1=2132, PHD=25.38
  Sample 9, entailment: H0=950, H1=1282, PHD=18.51
  Sample 9, neutral: H0=950, H1=1706, PHD=24.28
  Sample 9, contradiction: H0=950, H1=2089, PHD=28.17
  Sample 10, entailment: H0=950, H1=1308, PHD=19.01
  Sample 10, neutral: H0=950, H1=1717, PHD=22.94
  Sample 10, contradiction: H0=950, H1=2185, PHD=26.69

Test 3/10 (seed=44)
  Sample 1, entailment: H0=950, H1=1388, PHD=17.40
  Sample 1, neutral: H0=950, H1=1707, PHD=23.49
  Sample 1, contradiction: H0=950, H1=2095, PHD=30.22
  Sample 2, entailment: H0=950, H1=1223, PHD=21.11
  Sample 2, neutral: H0=950, H1=1719, PHD=24.04
  Sample 2, contradiction: H0=950, H1=2133, PHD=30.54
  Sample 3, entailment: H0=950, H1=1325, PHD=16.72
  Sample 3, neutral: H0=950, H1=1693, PHD=20.53
  Sample 3, contradiction: H0=950, H1=2155, PHD=28.06
  Sample 4, entailment: H0=950, H1=1345, PHD=16.16
  Sample 4, neutral: H0=950, H1=1663, PHD=24.93
  Sample 4, contradiction: H0=950, H1=2099, PHD=24.15
  Sample 5, entailment: H0=950, H1=1310, PHD=17.02
  Sample 5, neutral: H0=950, H1=1679, PHD=22.92
  Sample 5, contradiction: H0=950, H1=2164, PHD=29.78
  Sample 6, entailment: H0=950, H1=1335, PHD=17.36
  Sample 6, neutral: H0=950, H1=1734, PHD=22.38
  Sample 6, contradiction: H0=950, H1=2188, PHD=26.23
  Sample 7, entailment: H0=950, H1=1402, PHD=18.26
  Sample 7, neutral: H0=950, H1=1706, PHD=21.19
  Sample 7, contradiction: H0=950, H1=2165, PHD=27.77
  Sample 8, entailment: H0=950, H1=1258, PHD=16.25
  Sample 8, neutral: H0=950, H1=1812, PHD=24.07
  Sample 8, contradiction: H0=950, H1=2104, PHD=26.43
  Sample 9, entailment: H0=950, H1=1351, PHD=16.76
